Week,Monday ,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Tip $/Week,Check $,Week $,Total Check $,Total $ Earned,Total Cash Earned,,,
4/29/18,,,,,,$50,$31,$81 ,$99.41 ,$180.41 ,$99.41 ,$180.41 ,$81 ,,,
5/6/18,,,,,,$33,$150,$183 ,$102.37 ,$285.37 ,$201.78 ,$465.78 ,$264 ,,,
5/13/18,,$51,,,$56,$70,$30,$207 ,$135.76 ,$342.76 ,$337.54 ,$808.54 ,$471 ,,,
5/20/18,,$39,$66,,$110,$94,$93,$402 ,$172.73 ,$574.73 ,$510.27 ,"$1,383.27 ",$873 ,,,
5/27/18,$90,$60,$55,,,$97,$31,$333 ,$144.11 ,$477.11 ,$654.38 ,"$1,860.38 ","$1,206 ",,,
6/3/18,,,$90,,$96,$63,$28,$277 ,$137.35 ,$414.35 ,$791.73 ,"$2,274.73 ","$1,483 ",,,
6/10/18,,$52,$72,,$99,$153,$104,$480 ,$243.61 ,$723.61 ,"$1,035.34 ","$2,998.34 ","$1,963 ",,,
6/17/18,$69,$56,$58,,$64,$60,$38,$345 ,$166.02 ,$511.02 ,"$1,201.36 ","$3,509.36 ","$2,308 ",,,
6/24/18,,$71,,$98,$77,$150,$76,$472 ,$203.05 ,$675.05 ,"$1,404.41 ","$4,184.41 ","$2,780 ",,,
7/1/18,$107,$87,$115,$82,,$150,$79,$620 ,$227.69 ,$847.69 ,"$1,632.10 ","$5,032.10 ","$3,400 ",,,
7/8/18,,$75,$77,,$80,$158,$98,$488 ,$228.73 ,$716.73 ,"$1,860.83 ","$5,748.83 ","$3,888 ",,,
7/15/18,$54,$106,$189,$75,,,,$424 ,$193.82 ,$617.82 ,"$2,054.65 ","$6,366.65 ","$4,312 ",,,
7/22/18,$100,$51,,,$94,$116,$89,$450 ,$233.62 ,$683.62 ,"$2,288.27 ","$7,050.27 ","$4,762 ",,,
7/29/18,,$30,$65,,$60,$128,$63,$346 ,$156.36 ,$502.36 ,"$2,444.63 ","$7,552.63 ","$5,108 ",,,
8/5/18,,$50,$51,,$71,$122,$77,$371 ,$201.66 ,$572.66 ,"$2,646.29 ","$8,125.29 ","$5,479 ",,,
8/12/18,$101,$164,,$22,$70,,,$357 ,$142.79,$499.79 ,"$2,789.08 ","$8,625.08 ","$5,836 ",,,
Average/Day,$86.83,$68.62,$83.80,$69.25,$79.73,$103.14,$70.50,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
