Week,Monday ,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Total/Week,Total
5/5/19,0:00,0:00,0:00,0:00,0:00,0:00,6:41,06:41,06:41
5/12/19,0:00,6:26,2:08,6:02,0:00,8:09,3:49,26:34,33:15
5/19/19,0:00,5:53,6:39,7:32,0:00,9:03,6:01,35:08,68:23
5/26/19,10:54,6:37,0:00,6:14,0:00,5:05,7:01,35:51,104:14
6/2/19,0:00,6:41,1:47,7:11,9:18,9:33,8:16,42:46,147:00
6/9/19,5:53,7:40,5:58,0:00,0:00,11:02,0:00,30:33,177:33
6/16/19,6:24,7:21,6:01,5:56,0:00,0:00,8:08,33:50,211:23
6/23/19,6:19,8:57,7:28,7:49,9:31,0:00,8:27,48:31,259:54
6/30/19,9:41,11:30,7:32,13:09,0:00,15:03,8:22,65:17,325:11
7/7/19,6:53,6:35,6:40,0:00,9:11,11:07,8:31,48:57,374:08
7/14/19,7:17,5:59,12:35,0:00,7:17,16:39,10:11,59:58,434:06
7/21/19,8:55,6:42,6:54,0:00,0:00,12:09,7:15,41:55,476:01
7/28/19,7:23,7:03,6:08,8:21,0:00,12:26,7:54,49:15,525:16
8/4/19,0:00,7:34,7:27,8:00,10:14,11:53,10:57,56:05,581:21
8/11/19,6:28,9:40,10:20,9:57,10:57,14:05,0:00,61:27,642:48
,,,,,,,,,
