Week,Monday ,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Tip $/Week,Check $,Week $,Total Check $,Total $ Earned,,,,
5/5/19,,,,,,,$35,$35 ,$33.29 ,$68.29 ,$33.29 ,$68.29 ,,,,
5/12/19,,$44,$19,$43,,$70,$44,$220 ,$134.29 ,$354.29 ,$167.58 ,$422.58 ,,,,
5/19/19,,$23,$61,$126,,$122,$95,$427 ,$158.42 ,$585.42 ,$326.00 ,"$1,008.00 ",,,,
5/26/19,$146,$45,$43,$86,,$32,$63,$415 ,$166.53 ,$581.53 ,$492.53 ,"$1,589.53 ",,,,
6/2/19,,$66,$7,$80,$103,$103,$56,$415 ,$218.16 ,$633.16 ,$710.69 ,"$2,222.69 ",,,,
6/9/19,$51,$109,$68,,,$73,,$301 ,$152.95 ,$453.95 ,$863.64 ,"$2,676.64 ",,,,
6/16/19,$50,$92,$61,$33,,,$96,$332 ,$170.93 ,$502.93 ,"$1,034.57 ","$3,179.57 ",,,,
6/23/19,$58,$108,$93,$120,$100,,$92,$571 ,$120.08 ,$691.08 ,"$1,154.65 ","$3,870.65 ",,,,
6/30/19,$153,$117,$80,$151,,$193,$80,$774 ,$404.39 ,"$1,178.39 ","$1,559.04 ","$5,049.04 ",,,,
7/7/19,$115,$101,$81,,$145,$162,$118,$722 ,$296.31 ,"$1,018.31 ","$1,855.35 ","$6,067.35 ",,,,
7/14/19,$122,$62,$216,,$123,$232,$111,$866 ,$334.04 ,"$1,200.04 ","$2,189.39 ","$7,267.39 ",,,,
7/21/19,$186,$80,$67,,,$159,$77,$569 ,$211.91 ,$780.91 ,"$2,401.30 ","$8,048.30 ",,,,
7/28/19,$85,$111,$73,$126,,$161,$105,$661 ,$261.43 ,$922.43 ,"$2,662.73 ","$8,970.73 ",,,,
8/4/19,,$72,$94,$127,$180,$228,$145,$846 ,$312.73 ,"$1,158.73 ","$2,975.46 ","$10,129.46 ",,,,
8/11/19,$70,$132,$132,$139,$184,$210,,$867 ,,$867.00 ,"$2,975.46 ","$10,996.46 ",,,,
Average/Day,$103.60,$83.00,$78.21,$103.10,$139.17,$145.42,$85.92,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
