Week,Hours/Week,Check $,Hourly Tip $,Total Hourly $,Total Hours,Hourly $,,,,,,,,,
4/29/18,14:49,$99.41,$5.47,$12.97,14:49,$12.18 ,,,,,,,,,
5/6/18,19:56,$102.37,$9.18,$15.10,34:45,$13.40 ,,,,,,,,,
5/13/18,25:08,$135.76,$8.24,$15.37,59:53,$13.50 ,,,,,,,,,
5/20/18,36:29,$172.73,$11.02,$16.56,96:22,$14.35 ,,,,,,,,,
5/27/18,33:56,$144.11,$9.81,$16.76,130:18,$14.28 ,,,,,,,,,
6/3/18,28:02,$137.35,$9.88,$16.87,158:20,$14.37 ,,,,,,,,,
6/10/18,42:19,$243.61,$11.34,$17.28,200:39,$14.94 ,,,,,,,,,
6/17/18,36:56,$166.02,$9.34,$17.21,237:35,$14.77 ,,,,,,,,,
6/24/18,44:14,$203.05,$10.67,$17.36,281:49,$14.85 ,,,,,,,,,
7/1/18,53:44,$227.69,$11.54,$17.63,335:33,$15.00 ,,,,,,,,,
7/8/18,47:37,$228.73,$10.25,$17.65,383:10,$15.00 ,,,,,,,,,
7/15/18,34:46,$193.82,$12.20,$17.82,417:56,$15.23 ,,,,,,,,,
7/22/18,44:27,$233.62,$10.12,$17.80,462:23,$15.25 ,,,,,,,,,
7/29/18,40:28,$156.36,$8.55,$17.66,502:51,$15.02 ,,,,,,,,,
8/5/18,43:38,$201.66,$8.50,$17.53,546:29,$14.87 ,,,,,,,,,
8/12/18,30:19,$142.79,$11.78,$17.62,576:48,$14.95 ,,,,,,,,,
Average/Day,,,,,,,,,,,,,,,
,8.23,6.38,6.84,7.33,8.15,10.56,7.81,,,,,,,,
Average Hourly,,,,,,,,,,,,,,,
,$10.55,$10.75,$12.25,$9.45,$9.79,$9.77,$9.03,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
