Week,Monday ,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Total/Week,Total
5/5/19,0.00,0.00,0.00,0.00,0.00,0.00,6.68,6.68,6.68
5/12/19,0.00,6.43,2.13,6.03,0.00,8.15,3.82,26.57,33.25
5/19/19,0.00,5.88,6.65,7.53,0.00,9.05,6.02,35.13,68.38
5/26/19,10.90,6.62,0.00,6.23,0.00,5.08,7.02,35.85,104.23
6/2/19,0.00,6.68,1.78,7.18,9.30,9.55,8.27,42.77,147.00
6/9/19,5.88,7.67,5.97,0.00,0.00,11.03,0.00,30.55,177.55
6/16/19,6.40,7.35,6.02,5.93,0.00,0.00,8.13,33.83,211.38
6/23/19,6.32,8.95,7.47,7.82,9.52,0.00,8.45,48.52,259.90
6/30/19,9.68,11.50,7.53,13.15,0.00,15.05,8.37,65.28,325.18
7/7/19,6.88,6.58,6.67,0.00,9.18,11.12,8.52,48.95,374.13
7/14/19,7.28,5.98,12.58,0.00,7.28,16.65,10.18,59.97,434.10
7/21/19,8.92,6.70,6.90,0.00,0.00,12.15,7.25,41.92,476.02
7/28/19,7.38,7.05,6.13,8.35,0.00,12.43,7.90,49.25,525.27
8/4/19,0.00,7.57,7.45,8.00,10.23,11.88,10.95,56.08,581.35
8/11/19,6.47,9.67,10.33,9.95,10.95,14.08,0.00,61.45,642.80
,,,,,,,,,
